time,x_m,y_m
1777724056.781,7500.000,2975.800
1777724057.781,14000.000,1000.000
1777724058.781,14000.000,1000.000
1777724059.781,14000.000,1000.000
1777724060.781,14000.000,1000.000
1777724061.781,14000.000,1000.000
1777724062.781,14000.000,1000.000
1777724063.781,14000.000,1000.000
1777724064.781,14000.000,1000.000
1777724065.781,14000.000,1000.000
1777724066.781,14000.000,1000.000
1777724067.781,7500.000,3000.000
1777724068.781,7500.000,3000.000
1777724069.781,7500.000,3000.000
1777724070.781,7500.000,3000.000
1777724071.781,7500.000,3000.000
1777724072.781,7500.000,3000.000
1777724073.781,7500.000,3000.000
1777724074.781,7500.000,3000.000
1777724075.781,7500.000,3000.000
1777724076.781,7500.000,3000.000
1777724077.781,7500.000,3000.000
1777724078.781,7500.000,3000.000
1777724079.781,7500.000,3000.000
1777724080.781,7500.000,3000.000
1777724081.781,7500.000,3000.000
1777724082.781,7500.000,3000.000
1777724083.781,7500.000,3000.000
1777724084.781,7500.000,3000.000
1777724085.781,7500.000,3000.000
1777724086.781,7500.000,3000.000
1777724087.781,7500.000,3000.000
1777724088.781,7500.000,3011.100
1777724089.781,7500.000,3022.200
1777724090.781,7500.000,3033.300
1777724091.781,7500.000,3044.400
1777724092.781,7500.000,3055.500
1777724093.781,7500.000,3066.600
1777724094.781,7500.000,3077.700
1777724095.781,7500.000,3088.800
1777724096.781,7500.000,3099.900
1777724097.781,7500.000,3111.000
1777724098.781,7500.000,3122.100
1777724099.781,7500.000,3133.200
1777724100.781,7500.000,3144.300
1777724101.781,7500.000,3155.400
1777724102.781,7500.000,3166.500
1777724103.781,7500.000,3177.600
1777724104.781,7500.000,3188.700
1777724105.781,7500.000,3199.800
1777724106.781,7500.000,3210.900
1777724107.781,7500.000,3222.000
1777724108.781,7500.000,3233.100
1777724109.781,7500.000,3244.200
1777724110.781,7500.000,3255.300
1777724111.781,7500.000,3266.400
1777724112.781,14000.000,1000.000
1777724113.781,14000.000,1000.000
1777724114.781,14000.000,1000.000
1777724115.781,14000.000,1000.000
