triggerTime,busId,attackType,uploadStartTime,uploadFinishTime,uploadCompleted,bytesReceived
1777723944.062,0,gps_spoof,1777723947.859,1777723948.935,1,56492
1777724000.947,0,gps_spoof,1777724002.458,1777724005.189,1,57387
1777724059.203,0,gps_spoof,1777724060.705,1777724061.767,1,58329
1777724115.780,0,gps_spoof,1777724117.283,1777724118.319,1,58091
