time,x_m,y_m
1777723941.948,7500.000,1710.400
1777723942.948,7500.000,1721.500
1777723943.948,7500.000,1732.600
1777723944.948,14000.000,1000.000
1777723945.948,14000.000,1000.000
1777723946.948,14000.000,1000.000
1777723947.948,14000.000,1000.000
1777723948.948,14000.000,1000.000
1777723949.948,14000.000,1000.000
1777723950.948,14000.000,1000.000
1777723951.948,14000.000,1000.000
1777723952.948,14000.000,1000.000
1777723953.948,14000.000,1000.000
1777723954.948,14000.000,1000.000
1777723955.948,14000.000,1000.000
1777723956.948,7500.000,1876.900
1777723957.948,7500.000,1888.000
1777723958.948,7500.000,1899.100
1777723959.948,7500.000,1910.200
1777723960.948,7500.000,1921.300
1777723961.948,7500.000,1932.400
1777723962.948,7500.000,1943.500
1777723963.948,7500.000,1954.600
1777723964.948,7500.000,1965.700
1777723965.948,7500.000,1976.800
1777723966.948,7500.000,1987.900
1777723967.948,7500.000,1999.000
1777723968.948,7500.000,2010.100
1777723969.948,7500.000,2021.200
1777723970.948,7500.000,2032.300
1777723971.948,7500.000,2043.400
1777723972.948,7500.000,2054.500
1777723973.948,7500.000,2065.600
1777723974.948,7500.000,2076.700
1777723975.948,7500.000,2087.800
1777723976.948,7500.000,2098.900
1777723977.948,7500.000,2110.000
1777723978.948,7500.000,2121.100
1777723979.948,7500.000,2132.200
1777723980.948,7500.000,2143.300
1777723981.948,7500.000,2154.400
1777723982.948,7500.000,2165.500
1777723983.948,7500.000,2176.600
1777723984.948,7500.000,2187.700
1777723985.948,7500.000,2198.800
1777723986.948,7500.000,2209.900
1777723987.948,7500.000,2221.000
1777723988.948,7500.000,2232.100
1777723989.948,7500.000,2243.200
1777723990.948,7500.000,2254.300
1777723991.948,7500.000,2276.500
1777723992.948,7500.000,2287.600
1777723993.948,7500.000,2298.700
1777723994.948,7500.000,2309.800
1777723995.948,7500.000,2320.900
1777723996.948,7500.000,2332.000
1777723997.948,7500.000,2343.100
1777723998.948,14000.000,1000.000
1777723999.948,14000.000,1000.000
1777724000.948,14000.000,1000.000
