triggerTime,busId,attackType,uploadStartTime,uploadFinishTime,uploadCompleted,bytesReceived
1774747408.328,0,gps_spoof,1774747408.370,1774747409.064,1,10485760
1774747428.220,0,ddos,1774747428.374,1774747429.450,1,10485760
